Time,PosX,PosY,ImagePath
176.259452,-0.007521867752075195,-0.004674643278121948,reinforcerImages\artwork\eiffel - Copy.jpg
176.264485,-0.007760975095960854,-0.003601759672164917,reinforcerImages\artwork\eiffel - Copy.jpg
176.27146,-0.00743582513597274,-0.006839066743850708,reinforcerImages\artwork\eiffel - Copy.jpg
176.288457,-0.00580554538302952,-0.003458559513092041,reinforcerImages\artwork\eiffel - Copy.jpg
176.304935,-0.008683734469943583,-0.0013829618692398071,reinforcerImages\artwork\eiffel - Copy.jpg
176.32179,-0.005382643805609821,-0.0017018020153045654,reinforcerImages\artwork\eiffel - Copy.jpg
176.338632,-0.004523303773668108,-0.003412008285522461,reinforcerImages\artwork\eiffel - Copy.jpg
176.354956,-0.004319111506144224,-0.0043458640575408936,reinforcerImages\artwork\eiffel - Copy.jpg
176.371817,-0.004737271202935156,-0.004443958401679993,reinforcerImages\artwork\eiffel - Copy.jpg
176.388771,-0.006841050253974079,-0.002817392349243164,reinforcerImages\artwork\eiffel - Copy.jpg
176.404759,-0.007566822899712444,-0.005434170365333557,reinforcerImages\artwork\eiffel - Copy.jpg
176.421272,-0.006689998838636635,-0.003041192889213562,reinforcerImages\artwork\eiffel - Copy.jpg
176.438451,-0.007231367958916546,-0.0035198330879211426,reinforcerImages\artwork\eiffel - Copy.jpg
176.455359,-0.007200903362698019,-0.0030290186405181885,reinforcerImages\artwork\eiffel - Copy.jpg
176.472122,-0.007495906617906334,-0.003274381160736084,reinforcerImages\artwork\eiffel - Copy.jpg
176.488082,-0.005087931950887026,-0.0042563676834106445,reinforcerImages\artwork\eiffel - Copy.jpg
176.505101,-0.004946973588731585,-0.004556506872177124,reinforcerImages\artwork\eiffel - Copy.jpg
176.521988,-0.0074914826287163505,-0.007254093885421753,reinforcerImages\artwork\eiffel - Copy.jpg
176.538035,-0.0050581296284993305,-0.004962801933288574,reinforcerImages\artwork\eiffel - Copy.jpg
176.554901,-0.0019342369503445034,-0.0020664334297180176,reinforcerImages\artwork\eiffel - Copy.jpg
176.571855,-0.004007869296603739,-0.0006604194641113281,reinforcerImages\artwork\eiffel - Copy.jpg
176.588425,-0.0034452014499240513,-0.003976494073867798,reinforcerImages\artwork\eiffel - Copy.jpg
176.60538,-0.0043263700273302175,-0.0036044716835021973,reinforcerImages\artwork\eiffel - Copy.jpg
176.621771,-0.003164476818508566,-0.004248440265655518,reinforcerImages\artwork\eiffel - Copy.jpg
176.638652,-0.0038123395707872487,-0.0034007728099823,reinforcerImages\artwork\eiffel - Copy.jpg
